country,value
China,482581.5188
Germany,285210.8457
Russia,151453.7423
Brazil,128939.4239
South Korea,102591.6942
Iraq,87547.86397
United Arab Emirates,81818.52629
Netherlands,74215.016
Ireland,74154.89353
Singapore,59788.589
Italy,57055.3397
Belgium,55476.73598
Canada,49615.49278
"Other Asia, nes",41391.11666
Indonesia,39716.0324
Switzerland,35732.19163
Kazakhstan,31795.53089
Qatar,29100.65919
Malaysia,22471.12039
Denmark,22409.03537
Chile,22329.11557
Czech Republic,19351.79231
Norway,12558.9247
Poland,11831.43204
Peru,11112.67412
Ecuador,8521.055472
New Zealand,7547.093818
Hungary,6495.081344
Ghana,5337.278074
Argentina,4251.933482
Mongolia,3432.153696
Botswana,3070.871399
Panama,2186.792163
Slovakia,1557.924036
Israel,1340.896
Suriname,921.990827
Australia,450.122044
Guyana,219.813474
Solomon Islands,-79.355199
South Africa,-79.578986
Sao Tome and Principe,-157.104869
Palau,-179.178812
Greenland,-268.896242
Laos,-320.549588
Samoa,-325.371219
Madagascar,-630.555708
Sierra Leone,-651.446093
Oman,-725.460913
Paraguay,-753.639144
Uruguay,-782.585522
Antigua and Barbuda,-858.964108
Iceland,-863.959897
Mauritania,-883.125819
Sweden,-1071.82874
Cabo Verde,-1084.222752
Togo,-1105.431187
Niger,-1201.757801
Belize,-1251.565769
Rwanda,-1262.931097
Seychelles,-1740.352598
Zimbabwe,-1765.976316
Bermuda,-1813.17298
Namibia,-1841.371591
Fiji,-1893.794991
Barbados,-1976.662013
Estonia,-1987.11479
Aruba,-2043.651018
Macedonia,-2086.433744
Moldova,-2210.215411
Montenegro,-2346.201124
Mali,-2465.25286
Lithuania,-2565.984482
United Republic of Tanzania,-2671.287946
Maldives,-2681.928947
Armenia,-2821.331441
Kyrgyzstan,-3032.479503
Bahrain,-3160.761364
Senegal,-3217.983388
Mauritius,-3284.835505
Latvia,-3371.019966
Cambodia,-3747.971029
Benin,-4288.389601
Bulgaria,-4484.3107
Myanmar,-4971.793382
Jamaica,-5210.139705
Albania,-5414.164975
Malta,-5447.230858
Belarus,-5752.1711
Costa Rica,-6632.522505
Bosnia and Herzegovina,-6896.441446
Republic of Serbia,-7060.894627
Tunisia,-7084.83942
Georgia,-7225.084802
Cyprus,-7754.74643
El Salvador,-7999.027726
Luxembourg,-9493.297976
Finland,-10471.40755
Sri Lanka,-10666.35659
Croatia,-11590.16763
Afghanistan,-11875.37015
Portugal,-12259.67286
Colombia,-12315.82679
Dominican Republic,-12659.11039
Romania,-12802.11741
"China, Macao SAR",-13389.92903
Jordan,-18096.3784
Spain,-18785.0624
Morocco,-21930.96596
Ethiopia,-23856.81161
Pakistan,-26165.27119
Greece,-29082.67863
Algeria,-34195.24281
Philippines,-35328.50073
Mexico,-36507.84069
"China, Hong Kong SAR",-48344.18825
Egypt,-49776.5787
France,-64081.36455
Turkey,-76827.39724
Japan,-112966.742
India,-162243.3174
England,-231653.8352
USA,-715697.7547
